slug	source	registry_row	confidence	notes
1piece	direct	"1piece | 1Piece | Window manager with thumbnails, hot corners, and mouse triggers | zip | direct | https://app1piece.com | url=https://app1piece.com/1Piece-{v}.zip;vers=https://app1piece.com/download/;vregex=class=""version"">(\d+(?:\.\d+)+)"	high	"Live: 1Piece-5.0.1.zip 200 (19045734 bytes, application/x-zip-compressed); homepage 200. Version 5.0.1 (May 10 2026) from download-page changelog (class=""version"">5.0.1). NOTE app1piece.com/appcast.xml is STALE (advertises 3.2 from 2021; 1Piece-3.2.zip 404s) so do NOT use the appcast for livecheck — use the download page. Same host as homepage so no verified:. min macOS 10.13 per old appcast. bundle id not confirmed (verify on Mac). app1piece.com rate-limits (429) under repeated curl."
accents	direct_latest	accents | Accents | Unlocks iMac and MacBook accent colors on any Mac | zip | direct_latest | https://mahdi.jp/apps/accents | url=https://tars.mahdi.jp/apps/accents.zip	high	"Live: tars.mahdi.jp/apps/accents.zip 200 (application/zip); homepage mahdi.jp/apps/accents 200. UNVERSIONED single URL -> version :latest, sha256 :no_check. Download host (tars.mahdi.jp) differs from homepage (mahdi.jp) -> verified: needed (verified: ""tars.mahdi.jp/""). No appcast/versioned URL found; page only shows ""1.0"" (the ""1.9.1"" on page is jQuery, a false positive). bundle id jp.mahdi.Accents, Team PP5UYHJQCD (appcatalog). By Mahdi Bchatnia."
adobe-remote-update-manager	ineligible		low	No public download. deploymenttools.acp.adobeoobe.com/RUM/RemoteUpdateManager.dmg returns 403 (S3 AccessDenied) — distributed only via the Adobe Admin Console (Packages > Tools), which is auth-gated. Not FMA-eligible. bundle/Team from appcatalog.
adobe-uninstaller	ineligible		low	No public download. Enterprise CLI uninstaller (com.adobe.uninstaller, Team JQ525L2MZD) distributed only via Adobe Admin Console; deploymenttools.acp.adobeoobe.com/Uninstaller/... 403 (S3 AccessDenied). NOT the public Creative Cloud Cleaner Tool. Not FMA-eligible.
air	direct_arch	air | Air | Syncs an Air workspace into Finder for local file access | zip | direct_arch | https://air.inc/air-flow-macos | arm=https://github.com/AirLabsTeam/airflow-releases/releases/download/v{v}/Air-{v}-arm64-mac.zip;intel=https://github.com/AirLabsTeam/airflow-releases/releases/download/v{v}/Air-{v}-mac.zip;vers=https://github.com/AirLabsTeam/airflow-releases/releases/latest;vregex=[0-9]+(\.[0-9]+)+	high	"""Air Flow"" by Air, Inc (input source_detail plugins.jetbrains.com is a WRONG/stale AutoPkg scrape). Electron app (latest-mac.yml present) hosted on GitHub AirLabsTeam/airflow-releases, tag v4.1.47 (releaseDate 2026-06-03). Versioned zips verified live (206): Air-4.1.47-arm64-mac.zip (arm), Air-4.1.47-mac.zip (intel). The .dmg assets (Air-arm64.dmg/Air-x64.dmg) are UNVERSIONED aliases so used the versioned zips. bundle id com.air.desktop, Team 8RBYE8TY7T. min macOS 11 (Big Sur). homepage 200. Alt: electron source with :electron_builder feed=releases/latest/download/latest-mac.yml."
aircall-workspace	direct_arch	aircall-workspace | Aircall Workspace | Business phone client with CRM and helpdesk integrations | pkg | direct_arch | https://aircall.io/download/ | arm=https://download-electron.aircall.io/aircall-workspace/Aircall-Workspace-{v}-arm64.pkg;intel=https://download-electron.aircall.io/aircall-workspace/Aircall-Workspace-{v}-x64.pkg;vers=https://electron.aircall.io/download/osx?appType=aircall-workspace&platform=macPkg;vregex=Aircall-Workspace-(\d+(?:\.\d+)+)-	high	"Arch-split pkg, version 1.14.17. electron.aircall.io/download/osx?appType=aircall-workspace&platform=macPkg redirects (206) to download-electron.aircall.io/aircall-workspace/Aircall-Workspace-1.14.17-x64.pkg (intel) and &arch=arm64 -> ...-1.14.17-arm64.pkg (arm). Both verified live. vers via the redirect (:header_match on the download endpoint capturing version from filename). Download host differs from homepage -> verified: ""download-electron.aircall.io/"". bundle io.aircall.workspace, Team 3ML357Q795. min macOS 10.16+."
airtime	direct_latest	airtime | Airtime | Adds custom looks and visuals to video-meeting webcam feeds | dmg | direct_latest | https://www.airtime.com/download | url=https://updates.airtimetools.com/mac/hybrid/Airtime.dmg	high	"Live: updates.airtimetools.com/mac/hybrid/Airtime.dmg 200 (application/x-apple-diskimage); homepage 200. UNVERSIONED single URL -> version :latest, sha256 :no_check. Formerly mmhmm (bundle app.mmhmm.hybrid, Team M3KUT44L48). No latest-mac.yml/appcast found at probed paths. Sibling installers exist (AirtimeCamera/Creator/Recorder/Stacks .dmg) — base Airtime.dmg matches the slug. Download host differs from homepage -> verified: ""updates.airtimetools.com/"". min macOS 13."
amazon-appstream-20	direct_latest	amazon-appstream-20 | Amazon Appstream 20 | Client for streaming applications and desktops from AWS | pkg | direct_latest | https://clients.amazonappstream.com/ | url=https://clients.amazonappstream.com/installers/mac/global/WorkSpacesApplicationsClient.pkg	high	"Live: clients.amazonappstream.com/installers/mac/global/WorkSpacesApplicationsClient.pkg 200 (binary/octet-stream); homepage 200. UNVERSIONED single URL -> version :latest, sha256 :no_check. Client renamed to ""WorkSpaces Applications Client""; current version 1.4.0 (2026-04-28, per AWS macOS release-notes doc) but the download URL is fixed/latest so :latest is correct. bundle com.amazon.AppstreamClient, Team 94KV3E626L. min macOS 13. (Used the input name ""Amazon Appstream 20"".)"
appcode	direct_arch	"appcode | Appcode | IDE for Swift and Objective-C iOS and app development | dmg | direct_arch | https://www.jetbrains.com/objc/ | arm=https://download.jetbrains.com/objc/AppCode-{v}-aarch64.dmg;intel=https://download.jetbrains.com/objc/AppCode-{v}.dmg;vers=https://data.services.jetbrains.com/products/releases?code=AC&latest=true&type=release;vregex=""version"":""(\d+(?:\.\d+)+)"""	high	"JetBrains AppCode, DISCONTINUED (sunset Dec 2022); last release 2023.1.5, frozen. Arch-split dmgs verified live (206): AppCode-2023.1.5.dmg (intel), AppCode-2023.1.5-aarch64.dmg (arm) on download.jetbrains.com (-> download-cdn.jetbrains.com). vers = JetBrains releases JSON API (code=AC) which still returns 2023.1.5. Download host differs from homepage -> verified: ""download.jetbrains.com/objc/"". bundle com.jetbrains.AppCode, Team 2ZEFAR8TH3. Large (~2GB). livecheck :json on the API. Note: product is EOL so version will not advance."
arcade	direct	arcade | Arcade | Records interactive product demos and exports to video or GIF | dmg | direct | https://www.arcade.software/download | url=https://cdn.arcade.software/desktop/dmg/{v}/Arcade.dmg;vers=https://app.arcade.software/desktop/download;vregex=dmg/(\d+(?:\.\d+)+)/	high	"Universal dmg (all arch params resolve to one file), version 3.5.10. app.arcade.software/desktop/download redirects (206) to cdn.arcade.software/desktop/dmg/3.5.10/Arcade.dmg; version lives in the path. vers via :header_match on the download endpoint capturing version from the redirect Location. Download host differs from homepage -> verified: ""cdn.arcade.software/"". bundle software.arcade.desktop, Team 99XX4CDC8R. min macOS 13."
