slug	status	registry_row	confidence	notes
mestrenova	row	mestrenova | Mestrenova | Processes and analyzes NMR, LC/GC/MS and other analytical chemistry data | dmg | direct | https://mestrelab.com | url=https://mestrelab.com/downloads/mnova/mac/MestReNova-{v}.dmg;version=16.0.0-39276	med	Verified live 200 (application/x-apple-diskimage): https://mestrelab.com/downloads/mnova/mac/MestReNova-16.0.0-39276.dmg . Current = 16.0.0 build 39276 (confirmed via AutoPkg andrewvalentine recipe pattern MestReNova-<ver>-<build>.dmg + chemnmrlab.uchicago.edu/chemweb.ir 2026). Filename embeds build, so version=16.0.0-39276 (hyphen). Download page is JS-rendered/Cloudflare (not scrapable) so no page_match vers source; static version set. Audit will likely want a livecheck (none reliable) -> may need manual :page_match if Mestrelab exposes a static listing. Host=homepage host (mestrelab.com) so no verified:.
microsoft-company-portal	custom		high	Resolved via Microsoft AutoUpdate Sparkle feed https://officecdnmac.microsoft.com/pr/C1297A47-86C4-4C1F-97FA-950631F94777/MacAutoupdate/0409IMCP01.xml -> first dict Location=CompanyPortal_5.2604.1-Upgrade.pkg, then -Upgrade->-Installer. Versioned download (verified 200, application/octet-stream): https://res.public.onecdn.static.microsoft/mro1cdnstorage/C1297A47-86C4-4C1F-97FA-950631F94777/MacAutoupdate/CompanyPortal_5.2604.1-Installer.pkg . Version 5.2604.1. Livecheck = MAU appcast (:sparkle on 0409IMCP01.xml). Custom because: download URL derived from a Sparkle feed with a UUID CDN path + the -Upgrade->-Installer rewrite (not aka.ms), and the pkg bundles Microsoft AutoUpdate (needs pkg choices: deselect com.microsoft.autoupdate + quit: com.microsoft.autoupdate2). Homepage https://learn.microsoft.com/en-us/mem/intune/apps/apps-company-portal-macos (200).
microsoft-powershell	custom		high	Arch-split GitHub pkg release (PowerShell/PowerShell), tag v7.6.2. Both verified live 200: arm64 https://github.com/PowerShell/PowerShell/releases/download/v7.6.2/powershell-7.6.2-osx-arm64.pkg (sha256 d6645230f2cc8f8db5c5b2896c583e89d9299e6efedec0a55eed3d0963d01949) ; x64 https://github.com/PowerShell/PowerShell/releases/download/v7.6.2/powershell-7.6.2-osx-x64.pkg (sha256 5d96c383a86711bff39bc0c55fe50c3482696d10a256015f17bcb1d2658f1340). Version 7.6.2. Livecheck :github_latest. Custom because two separate per-arch .pkg assets (not single-asset github_tag). Token microsoft-powershell avoids the homebrew-core 'powershell' formula collision. Homepage https://github.com/PowerShell/PowerShell (200).
microsoft-skype-for-business	row	microsoft-skype-for-business | Microsoft Skype for Business | Enterprise instant messaging and online meeting client | pkg | msft_cdn | https://learn.microsoft.com/en-us/skypeforbusiness/ | short=https://go.microsoft.com/fwlink/?linkid=832978;regex=SkypeForBusinessUpdater-(\d+(?:\.\d+)+)\.pkg	med	fwlink 832978 still resolves (302) to a live versioned pkg (verified 200, application/octet-stream): https://res.public.onecdn.static.microsoft/mro1cdnstorage/C1297A47-86C4-4C1F-97FA-950631F94777/MacAutoupdate/SkypeForBusinessUpdater-16.30.32.pkg . Version 16.30.32. Livecheck :header_match on the fwlink. CAVEAT: product is end-of-life and the pkg is the MAU 'Updater' package (not a full standalone installer) - flagged but a real versioned pkg verifiably downloads. verified: derived from CDN host res.public.onecdn.static.microsoft/. Homepage learn.microsoft.com/skypeforbusiness (200). Note: existing 'skype-for-business' cask is a different/older token; microsoft-skype-for-business is free.
network-share-mounter	row	network-share-mounter | Network Share Mounter | Mounts network shares automatically using stored credentials | pkg | direct | https://gitlab.rrze.fau.de/faumac/networkShareMounter | url=https://gitlab.rrze.fau.de/api/v4/projects/506/packages/generic/networksharemounter/release-{v}/NetworkShareMounter-{v}.pkg;vers=https://gitlab.rrze.fau.de/api/v4/projects/506/releases;vregex=release-([0-9]+(?:\.[0-9]+)+)	high	Verified live 200 (application/octet-stream): https://gitlab.rrze.fau.de/api/v4/projects/506/packages/generic/networksharemounter/release-4.1.0/NetworkShareMounter-4.1.0.pkg . Version 4.1.0 from GitLab releases API (release-4.1.0). vregex tested -> matches release-4.1.0. Download host = homepage host (gitlab.rrze.fau.de) so NO verified:. pkg receipt de.fau.rrze.NetworkShareMounter (team C8F68RFW4L). Homepage gitlab.rrze.fau.de/faumac/networkShareMounter (200).
nodejs	row	nodejs | Node.js | JavaScript runtime built on the V8 engine | pkg | direct | https://nodejs.org | url=https://nodejs.org/dist/v{v}/node-v{v}.pkg;vers=https://nodejs.org/dist/latest/;vregex=node-v([0-9]+(?:\.[0-9]+)+)\.pkg	high	Verified live 200 (application/x-xar = pkg): https://nodejs.org/dist/v26.3.0/node-v26.3.0.pkg . Current (latest) channel = v26.3.0 (matches Installomator /dist/latest/ expression). vers page https://nodejs.org/dist/latest/ always lists node-vX.Y.Z.pkg; vregex captures 26.3.0. {v} interpolated twice (dir + filename). Download host = homepage host (nodejs.org) so no verified:. (LTS is v24.16.0 but source expression tracks Current.) Homepage nodejs.org (200). Token nodejs avoids homebrew-core 'node' formula.
nvivo-14	custom		high	Unversioned alias https://download.qsrinternational.com/Software/NVivo14forMac/NVivo.dmg 302-redirects to versioned https://download.qsrinternational.com/Software/NVivo14forMac/14.24.0.52/NVivo14.dmg (verified 200, application/octet-stream, 736MB). Current 14.24.0.52. Livecheck must be :header_match on the unversioned alias (regex captures version from Location path) - direct source uses :page_match (no HTML version page exists), so custom. AutoPkg jazzace recipe confirms version is only knowable from the binary/redirect. All Lumivero/qsrinternational homepages 403 brew (Akamai) - reachable sub-page needed (e.g. https://help-nv.qsrinternational.com also 403; use a 200 page at author time). Paid product but the .dmg is a public unauthenticated download.
nvivo-15	custom		high	Unversioned alias https://download.qsrinternational.com/Software/NVivo15forMac/NVivo15.dmg 302-redirects to versioned https://download.qsrinternational.com/Software/NVivo15forMac/15.5.0.215/NVivo15.dmg (verified 200, application/octet-stream, 720MB). Current 15.5.0.215. Livecheck must be :header_match on the unversioned alias (direct source's :page_match cannot read the redirect Location; no HTML version page), so custom. bundle id com.lumivero.nvivo-15 (team 8F4S7H8S59). Lumivero/qsrinternational homepages 403 brew (Akamai) - pick a 200 sub-page at author time. Public unauthenticated .dmg.
onscreen-control	review		low	REVIEW: broken. Installomator label 'onscreencontrol' is flagged broken (issue #1881: vendor changed installer/website). The Mac path https://lmu.lge.com/ExternalService/onscreencontrol/mac/2.0/ returns NotAllowedPage; every probed filename (OnScreenControl_2.0x.zip etc.) returns content-length 15, content-type text/html (soft-404). No verifiable Mac download exists. (Win path serves OnScreenControl_6.82.zip, but no working Mac equivalent.)
particulars	row	particulars | Particulars | Displays detailed hardware and system information in the menu bar | pkg | direct | https://particulars.app | url=https://particulars.app/_downloads/Particulars-{v}.pkg;version=68.485	med	'Particulars-latest.pkg' 302-redirects to https://particulars.app/_downloads/Particulars-68.485.pkg (verified 200, 5MB; then proxies to gitlab.com package_files). Current version 68.485 (note: vendor uses build-style version 68.485). No HTML version page found, so static version=68.485 (audit may want a livecheck; release source is gitlab.com/fraserhess/particulars). Download host = homepage host (particulars.app) so no verified:. pkg receipt net.glencode.Particulars (team 2Z25XDNP2X). Homepage particulars.app (200).
